rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
141_S_1231.nii	5.0	17.0	42.0	38.0	10.0	57.0	63.0	62.0	22.0	73.0	55.0	61.0	40.0	59.0	6.0	19.0	25.0	18.0	27.0	21.0	77.0	30.0	71.0	48.0	15.0	107.0	105.0	65.0	51.0	46.0	10.0	8.0	5.0	90.0	932961.0	1554682.66432
002_S_0413.nii	6.0	25.0	32.0	39.0	5.0	50.0	77.0	58.0	26.0	106.0	46.0	73.0	58.0	70.0	6.0	19.0	18.0	18.0	20.0	38.0	50.0	26.0	60.0	59.0	6.0	113.0	100.0	92.0	51.0	59.0	11.0	8.0	4.0	27.0	1054512.0	1590910.625
116_S_0834.nii	10.0	18.0	25.0	31.0	5.0	65.0	85.0	67.0	23.0	108.0	44.0	66.0	53.0	55.0	8.0	27.0	15.0	18.0	19.0	29.0	70.0	35.0	71.0	72.0	10.0	123.0	107.0	86.0	44.0	69.0	12.0	9.0	6.0	37.0	1153697.0	1810128.85164
062_S_1099.nii	10.0	23.0	28.0	31.0	7.0	60.0	85.0	69.0	25.0	101.0	45.0	70.0	35.0	61.0	8.0	20.0	21.0	21.0	23.0	32.0	57.0	31.0	57.0	54.0	13.0	128.0	94.0	73.0	64.0	55.0	11.0	17.0	9.0	39.0	907785.0	1419886.68608
099_S_0880.nii	15.0	16.0	64.0	26.0	2.0	54.0	67.0	61.0	15.0	91.0	115.0	64.0	43.0	70.0	5.0	18.0	16.0	16.0	15.0	18.0	42.0	41.0	53.0	57.0	14.0	115.0	107.0	62.0	53.0	71.0	9.0	10.0	6.0	53.0	933388.0	1727209.67079
072_S_1380.nii	8.0	19.0	28.0	33.0	6.0	59.0	72.0	54.0	14.0	88.0	58.0	75.0	36.0	55.0	7.0	19.0	16.0	20.0	17.0	25.0	58.0	15.0	58.0	59.0	17.0	100.0	101.0	81.0	53.0	52.0	8.0	8.0	5.0	26.0	884392.0	1465075.9
062_S_0768.nii	11.0	22.0	32.0	40.0	6.0	58.0	102.0	63.0	42.0	109.0	61.0	76.0	34.0	52.0	7.0	14.0	25.0	17.0	24.0	23.0	58.0	31.0	67.0	69.0	24.0	118.0	103.0	76.0	53.0	66.0	7.0	9.0	5.0	43.0	1179163.0	1812106.54619
041_S_0314.nii	8.0	18.0	30.0	35.0	5.0	59.0	81.0	71.0	24.0	112.0	48.0	68.0	39.0	67.0	6.0	28.0	15.0	18.0	19.0	29.0	44.0	27.0	62.0	79.0	18.0	116.0	105.0	81.0	50.0	51.0	9.0	9.0	5.0	37.0	1146728.0	1746978.34848
021_S_0231.nii	10.0	24.0	35.0	35.0	7.0	70.0	107.0	59.0	24.0	120.0	55.0	73.0	51.0	65.0	8.0	22.0	22.0	19.0	20.0	26.0	63.0	30.0	70.0	67.0	14.0	130.0	127.0	90.0	63.0	73.0	8.0	8.0	6.0	39.0	1150863.0	1719871.883
116_S_0392.nii	5.0	14.0	23.0	24.0	4.0	46.0	75.0	51.0	18.0	89.0	46.0	54.0	35.0	54.0	7.0	16.0	20.0	18.0	18.0	18.0	44.0	15.0	50.0	56.0	13.0	109.0	86.0	69.0	48.0	57.0	10.0	10.0	5.0	29.0	896507.0	1454245.10408
